DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Denmark,2023,62.8,bep,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Estonia,2014,85.1,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Estonia,2015,86.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Estonia,2016,86.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Estonia,2017,85.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Estonia,2018,85.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Estonia,2019,80.6,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Estonia,2020,81.6,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Estonia,2021,81.6,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Estonia,2022,80.8,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Estonia,2023,82.4,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Greece,2014,84.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Greece,2015,89.6,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Greece,2016,85.4,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Greece,2017,78.8,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Greece,2018,80.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Greece,2019,79.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Greece,2020,84.6,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Greece,2021,80.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Greece,2022,74.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Greece,2023,82.0,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Spain,2014,76.9,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Spain,2015,75.7,,
ESTAT:CEI_WM060$DEFAULTVIEW(1.0),08/04/26 11:00:00,Annual,Percentage,Spain,2016,87.8,,
